127.0.0.1 - - [21/Apr/2020:23:37:01 +0800] "GET / HTTP/1.1" 404 675
0:0:0:0:0:0:0:1 - - [21/Apr/2020:23:44:03 +0800] "GET /atcrowdfunding02-admin-webui/admin/to/main/page.html HTTP/1.1" 500 2872
0:0:0:0:0:0:0:1 - - [21/Apr/2020:23:44:06 +0800] "GET /atcrowdfunding02-admin-webui/menu/get/whole/tree.json HTTP/1.1" 200 2014
0:0:0:0:0:0:0:1 - - [21/Apr/2020:23:44:07 +0800] "POST /atcrowdfunding02-admin-webui/admin/do/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:23:44:08 +0800] "GET /atcrowdfunding02-admin-webui/admin/to/main/page.html HTTP/1.1" 200 7062
0:0:0:0:0:0:0:1 - - [21/Apr/2020:23:44:11 +0800] "GET /atcrowdfunding02-admin-webui/menu/get/page.html HTTP/1.1" 200 7571
0:0:0:0:0:0:0:1 - - [21/Apr/2020:23:44:11 +0800] "GET /atcrowdfunding02-admin-webui/crowd/my-menu.js HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [21/Apr/2020:23:44:11 +0800] "POST /atcrowdfunding02-admin-webui/menu/get/whole/tree.json HTTP/1.1" 200 2481
0:0:0:0:0:0:0:1 - - [21/Apr/2020:23:44:16 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [21/Apr/2020:23:44:44 +0800] "GET /atcrowdfunding02-admin-webui/menu/get/page.html HTTP/1.1" 200 7563
0:0:0:0:0:0:0:1 - - [21/Apr/2020:23:44:44 +0800] "GET /atcrowdfunding02-admin-webui/crowd/my-menu.js HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [21/Apr/2020:23:44:44 +0800] "POST /atcrowdfunding02-admin-webui/menu/get/whole/tree.json HTTP/1.1" 200 2481
0:0:0:0:0:0:0:1 - - [21/Apr/2020:23:44:44 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [21/Apr/2020:23:55:18 +0800] "GET /atcrowdfunding02-admin-webui/menu/get/page.html HTTP/1.1" 200 7563
0:0:0:0:0:0:0:1 - - [21/Apr/2020:23:55:18 +0800] "GET /atcrowdfunding02-admin-webui/crowd/my-menu.js HTTP/1.1" 200 735
0:0:0:0:0:0:0:1 - - [21/Apr/2020:23:55:18 +0800] "POST /atcrowdfunding02-admin-webui/menu/get/whole/tree.json HTTP/1.1" 200 2481
0:0:0:0:0:0:0:1 - - [21/Apr/2020:23:55:18 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 542194
