0:0:0:0:0:0:0:1 - - [22/Apr/2020:12:37:32 +0800] "POST /atcrowdfunding02-admin-webui/menu/get/whole/tree.json HTTP/1.1" 200 2481
0:0:0:0:0:0:0:1 - - [22/Apr/2020:12:37:32 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [22/Apr/2020:12:37:34 +0800] "GET /atcrowdfunding02-admin-webui/menu/to/page.html HTTP/1.1" 200 6725
0:0:0:0:0:0:0:1 - - [22/Apr/2020:12:37:34 +0800] "GET /atcrowdfunding02-admin-webui/crowd/my-menu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2020:12:37:34 +0800] "POST /atcrowdfunding02-admin-webui/menu/get/whole/tree.json HTTP/1.1" 200 2481
0:0:0:0:0:0:0:1 - - [22/Apr/2020:12:37:34 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [22/Apr/2020:12:37:40 +0800] "GET /atcrowdfunding02-admin-webui/menu/to/page.html HTTP/1.1" 200 6725
0:0:0:0:0:0:0:1 - - [22/Apr/2020:12:37:40 +0800] "GET /atcrowdfunding02-admin-webui/crowd/my-menu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2020:12:37:40 +0800] "POST /atcrowdfunding02-admin-webui/menu/get/whole/tree.json HTTP/1.1" 200 2481
0:0:0:0:0:0:0:1 - - [22/Apr/2020:12:37:40 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [22/Apr/2020:12:37:56 +0800] "GET /atcrowdfunding02-admin-webui/ HTTP/1.1" 200 3592
0:0:0:0:0:0:0:1 - - [22/Apr/2020:12:38:09 +0800] "GET /atcrowdfunding02-admin-webui/menu/to/page.html HTTP/1.1" 200 6725
0:0:0:0:0:0:0:1 - - [22/Apr/2020:12:38:09 +0800] "GET /atcrowdfunding02-admin-webui/crowd/my-menu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2020:12:38:09 +0800] "POST /atcrowdfunding02-admin-webui/menu/get/whole/tree.json HTTP/1.1" 200 2481
0:0:0:0:0:0:0:1 - - [22/Apr/2020:12:38:09 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [22/Apr/2020:12:38:42 +0800] "GET /atcrowdfunding02-admin-webui/menu/to/page.html HTTP/1.1" 200 6725
0:0:0:0:0:0:0:1 - - [22/Apr/2020:12:38:42 +0800] "GET /atcrowdfunding02-admin-webui/crowd/my-menu.js HTTP/1.1" 200 4495
